id,sport,distance,style,classification,medal,year,place,rank,meters,four_times,seq,reps_linear,reps_nonlinear,shape,nth_type,main,lighter,darker
1,Swimming,100m,Backstroke,B,Gold,1980,Arnhem,1,100,FALSE,1,4,4,4,1,#dfb70f,#fbd24c,#c7a307
2,Swimming,100m,Butterfly,B,Gold,1980,Arnhem,1,100,FALSE,2,4,4,5,1,#dfb70f,#fbd24c,#c7a307
3,Swimming,100m,Freestyle,B,Gold,1980,Arnhem,1,100,FALSE,3,4,4,1,1,#dfb70f,#fbd24c,#c7a307
4,Swimming,4x50m,Medley,B,Gold,1980,Arnhem,1,50,TRUE,4,2,2,2,1,#dfb70f,#fbd24c,#c7a307
5,Swimming,4x100m,Medley,B,Gold,1980,Arnhem,1,100,TRUE,5,4,4,2,1,#dfb70f,#fbd24c,#c7a307
6,Swimming,100m,Backstroke,B2,Gold,1984,Stoke Mandeville & New York,1,100,FALSE,1,4,4,4,2,#dfb70f,#fbd24c,#c7a307
7,Swimming,100m,Butterfly,B2,Gold,1984,Stoke Mandeville & New York,1,100,FALSE,2,4,4,5,2,#dfb70f,#fbd24c,#c7a307
8,Swimming,100m,Freestyle,B2,Gold,1984,Stoke Mandeville & New York,1,100,FALSE,3,4,4,1,2,#dfb70f,#fbd24c,#c7a307
9,Swimming,200m,Medley,B2,Gold,1984,Stoke Mandeville & New York,1,200,FALSE,4,8,6,2,1,#dfb70f,#fbd24c,#c7a307
10,Swimming,400m,Medley,B2,Gold,1984,Stoke Mandeville & New York,1,400,FALSE,5,16,8,2,1,#dfb70f,#fbd24c,#c7a307
11,Swimming,100m,Backstroke,B2,Gold,1988,Seoul,1,100,FALSE,1,4,4,4,3,#dfb70f,#fbd24c,#c7a307
12,Swimming,50m,Breaststroke,B2,Gold,1988,Seoul,1,50,FALSE,2,2,2,3,1,#dfb70f,#fbd24c,#c7a307
13,Swimming,100m,Breaststroke,B2,Gold,1988,Seoul,1,100,FALSE,3,4,4,3,1,#dfb70f,#fbd24c,#c7a307
14,Swimming,200m,Breaststroke,B2,Gold,1988,Seoul,1,200,FALSE,4,8,6,3,1,#dfb70f,#fbd24c,#c7a307
